Name,Business,Location,Type,Loc in Market,Full Address (probably),Latitude,Longitude
Best Value Inc.,District Business,In Detroit,Unspecified,1526 Division,"1526 Division, Detroit, MI 48207",42.34784,-83.03885
Shadow Gallery,District Business,In Detroit,Unspecified,1533 Winder,"1533 Winder, Detroit, MI 48207",42.346911,-83.038039
Carlo Ciaramitaro Wholesale Produce,District Business,In Detroit,Unspecified,1535 Alfred Street,"1535 Alfred Street, Detroit, MI 48207",42.34898,-83.039373
Wigley's Corned Beef,District Business,In Detroit,Unspecified,1537 Hale St,"1537 Hale St, Detroit, MI 48207",42.35328,-83.042069
Towers Garage,District Business,In Detroit,Unspecified,1544 Gratiot,"1544 Gratiot, Detroit, MI 48207",42.345594,-83.03665
Jimmy's Quality Meats,District Business,In Detroit,Unspecified,1549 Division St,"1549 Division St, Detroit, MI 48207",42.348396,-83.03864
1550 Gratiot,District Business,In Detroit,Unspecified,1550 Gratiot,"1550 Gratiot, Detroit, MI 48207",42.345868,-83.036636
E&B Brewery Lofts,District Business,In Detroit,Other,1551 Winder,"1551 Winder, Detroit, MI 48207",42.347061,-83.037542
Pepsi Beverages Company,District Business,In Detroit,Unspecified,1555 Mack,"1555 Mack, Detroit, MI 48207",42.355273,-83.043868
Orlando's Produce,District Business,In Detroit,Produce,1563 Alfred,"1563 Alfred, Detroit, MI 48207",42.349116,-83.038917
Complete Food Service,District Business,In Detroit,Unspecified,1575 Division,"1575 Division, Detroit, MI 48207",42.348545,-83.038228
Michigan Farm to Freezer,District Business,In Detroit,Produce,1820 Mack,"1820 Mack, Detroit, MI 48207",42.353505,-83.040839
St. Joseph Shrine Catholic Church,District Business,In Detroit,Unspecified,1828 Jay,"1828 Jay, Detroit, MI 48207",42.34541,-83.03567
Keep Growing Detroit Market Garden,District Business,In Detroit,Produce,1850 Erskine,"1850 Erskine, Detroit, MI 48207",42.351402,-83.039411
Detroit Edison Public School Academy,District Business,In Detroit,Other,1903 Wilkins,"1903 Wilkins, Detroit, MI 48207",42.351676,-83.037605
KBD Inc.,District Business,In Detroit,Unspecified,1939 Adelaide St,"1939 Adelaide St, Detroit, MI 48207",42.348617,-83.035752
Floyd,District Business,In Detroit,Unspecified,1948 Division,"1948 Division, Detroit, MI 48207",42.348854,-83.036077
Anthology Coffee,District Business,In Detroit,Dine,1948 Division St,"1948 Division St, Detroit, MI 48207",42.348854,-83.036077
M1DTW Architects,District Business,In Detroit,Unspecified,1948 Divison,"1948 Divison, Detroit, MI 48207",42.396191,-83.114267
Maceri Produce,District Business,In Detroit,Produce,2000 Mack Ave,"2000 Mack Ave, Detroit, MI 48207",42.354299,-83.039319
St. John St. Luke United,District Business,In Detroit,Unspecified,2120 Russell,"2120 Russell, Detroit, MI 48207",42.343254,-83.038123
